date,app_id,region,transactions,revenue,avg_rating
2024-11-01,APP001,US,1200,5400.50,4.3
2024-11-01,APP002,US,980,4320.75,4.5
2024-11-01,APP003,EU,860,3890.20,4.4
2024-11-01,APP004,US,1450,6720.00,4.2
2024-11-01,APP005,EU,770,3510.60,4.6
2024-11-01,APP006,US,660,2980.40,4.1
2024-11-01,APP007,EU,930,4210.90,4.7
2024-11-01,APP008,US,510,2440.30,3.9
2024-11-01,APP009,EU,820,3795.00,4.5
2024-11-01,APP010,US,1040,4890.10,4.4
2024-11-01,APP011,US,1320,6010.80,4.6
2024-11-01,APP012,EU,740,3320.25,4.3
2024-11-01,APP013,US,890,4105.70,4.0
2024-11-01,APP014,EU,950,4380.90,4.8
2024-11-01,APP015,US,610,2850.50,4.1
2024-11-01,APP016,EU,720,3200.10,4.2
2024-11-01,APP017,US,1500,7050.00,4.7
2024-11-01,APP018,EU,830,3920.60,4.4
2024-11-01,APP019,US,980,4560.30,4.3
2024-11-01,APP020,EU,670,2995.40,4.0
2024-11-01,APP021,US,1110,5180.75,4.6
2024-11-01,APP022,EU,760,3410.20,4.2
2024-11-01,APP023,US,540,2580.90,3.8
2024-11-01,APP024,EU,880,4025.50,4.5
2024-11-01,APP025,US,1260,5890.00,4.7
2024-11-01,APP026,EU,700,3150.60,4.1
2024-11-01,APP027,US,930,4375.30,4.4
2024-11-01,APP028,EU,810,3780.40,4.3
2024-11-01,APP029,US,640,2920.25,4.0
2024-11-01,APP030,EU,990,4620.80,4.6
2024-11-01,APP031,US,1180,5480.90,4.5
2024-11-01,APP032,EU,760,3390.10,4.2
2024-11-01,APP033,US,870,3980.75,4.3
2024-11-01,APP034,EU,940,4280.60,4.7
2024-11-01,APP035,US,520,2490.40,3.9
2024-11-01,APP036,EU,680,3050.20,4.1
2024-11-01,APP037,US,1340,6150.00,4.8
2024-11-01,APP038,EU,790,3610.90,4.4
2024-11-01,APP039,US,910,4240.30,4.2
2024-11-01,APP040,EU,650,2940.10,4.0
2024-11-01,APP041,US,1080,5020.80,4.6
2024-11-01,APP042,EU,730,3280.60,4.3
2024-11-01,APP043,US,590,2760.40,3.8
2024-11-01,APP044,EU,860,3940.90,4.5
2024-11-01,APP045,US,1220,5640.00,4.7
2024-11-01,APP046,EU,710,3190.75,4.2
2024-11-01,APP047,US,960,4450.60,4.4
2024-11-01,APP048,EU,840,3860.20,4.6
2024-11-01,APP049,US,600,2810.10,4.0
2024-11-01,APP050,EU,920,4180.50,4.5
